Age,Embarked,PassengerId,Pclass,Sex,Fare_bin,Fare_class,Family_group,Title,Deck,Survived
22.0,2,1,2,1,0,0,1,2,8,0.0
38.0,0,2,0,0,3,2,1,3,2,1.0
26.0,2,3,2,0,0,0,0,1,8,1.0
35.0,2,4,0,0,3,2,1,3,2,1.0
35.0,2,5,2,1,0,0,0,2,8,0.0
28.3,1,6,2,1,0,0,0,2,8,0.0
54.0,2,7,0,1,3,2,0,2,4,0.0
2.0,2,8,2,1,2,1,0,0,8,0.0
27.0,2,9,2,0,0,0,1,3,8,1.0
14.0,0,10,1,0,2,2,1,3,8,1.0
4.0,2,11,2,0,1,1,1,1,6,1.0
58.0,2,12,0,0,2,2,0,1,2,1.0
20.0,2,13,2,1,0,0,0,2,8,0.0
39.0,2,14,2,1,2,2,0,2,8,0.0
14.0,2,15,2,0,0,0,0,1,8,0.0
55.0,2,16,1,0,1,1,0,3,8,1.0
2.0,1,17,2,1,2,1,0,0,8,0.0
33.0,2,18,1,1,0,1,0,2,8,1.0
31.0,2,19,2,0,1,1,1,3,8,0.0
32.3,0,20,2,0,0,0,0,3,8,1.0
35.0,2,21,1,1,2,2,0,2,8,0.0
34.0,2,22,1,1,0,1,0,2,3,1.0
15.0,1,23,2,0,0,0,0,1,8,1.0
28.0,2,24,0,1,2,2,0,2,0,1.0
8.0,2,25,2,0,2,1,0,1,8,0.0
38.0,2,26,2,0,2,2,0,3,8,1.0
28.3,0,27,2,1,0,0,0,2,8,0.0
19.0,2,28,0,1,3,3,0,2,2,0.0
17.3,1,29,2,0,0,0,0,1,8,1.0
28.3,2,30,2,1,0,0,0,2,8,0.0
40.0,0,31,0,1,2,2,0,2,8,0.0
43.0,0,32,0,0,3,3,1,3,1,1.0
17.3,1,33,2,0,0,0,0,1,8,1.0
66.0,2,34,1,1,0,1,0,2,8,0.0
28.0,0,35,0,1,3,2,1,2,8,0.0
42.0,2,36,0,1,3,2,1,2,8,0.0
28.3,0,37,2,1,0,0,0,2,8,1.0
21.0,2,38,2,1,0,0,0,2,8,0.0
18.0,2,39,2,0,1,1,1,1,8,0.0
14.0,0,40,2,0,0,0,1,1,8,1.0
40.0,2,41,2,0,0,0,1,3,8,0.0
27.0,2,42,1,0,1,2,1,3,8,0.0
28.3,0,43,2,1,0,0,0,2,8,0.0
3.0,0,44,1,0,2,2,1,1,8,1.0
19.0,1,45,2,0,0,0,0,1,8,1.0
28.3,2,46,2,1,0,0,0,2,8,0.0
28.3,1,47,2,1,1,1,1,2,8,0.0
17.3,1,48,2,0,0,0,0,1,8,1.0
28.3,0,49,2,1,2,1,1,2,8,0.0
18.0,2,50,2,0,1,1,1,3,8,0.0
7.0,2,51,2,1,2,2,0,0,8,0.0
21.0,2,52,2,1,0,0,0,2,8,0.0
49.0,0,53,0,0,3,2,1,3,3,1.0
29.0,2,54,1,0,2,2,1,3,8,1.0
65.0,0,55,0,1,3,2,1,2,1,0.0
42.2,2,56,0,1,2,2,0,2,2,1.0
21.0,2,57,1,0,0,1,0,1,8,1.0
28.5,0,58,2,1,0,0,0,2,8,0.0
5.0,2,59,1,0,2,2,1,1,8,1.0
11.0,2,60,2,1,2,2,0,0,8,0.0
22.0,0,61,2,1,0,0,0,2,8,0.0
38.0,0,62,0,0,3,2,0,1,1,1.0
45.0,2,63,0,1,3,2,1,2,2,0.0
4.0,2,64,2,1,2,1,0,0,8,0.0
42.2,0,65,0,1,2,2,0,2,8,0.0
6.1,0,66,2,1,1,1,1,0,8,1.0
29.0,2,67,1,0,0,1,0,3,5,1.0
19.0,2,68,2,1,0,0,0,2,8,0.0
17.0,2,69,2,0,0,0,0,1,8,1.0
26.0,2,70,2,1,0,0,1,2,8,0.0
32.0,2,71,1,1,0,1,0,2,8,0.0
16.0,2,72,2,0,2,2,0,1,8,0.0
21.0,2,73,1,1,3,2,0,2,8,0.0
26.0,0,74,2,1,1,1,1,2,8,0.0
32.0,2,75,2,1,3,2,0,2,8,1.0
25.0,2,76,2,1,0,0,0,2,5,0.0
28.3,2,77,2,1,0,0,0,2,8,0.0
28.3,2,78,2,1,0,0,0,2,8,0.0
0.83,2,79,1,1,2,2,1,0,8,1.0
30.0,2,80,2,0,0,1,0,1,8,1.0
22.0,2,81,2,1,0,0,0,2,8,0.0
29.0,2,82,2,1,0,0,0,2,8,1.0
17.3,1,83,2,0,0,0,0,1,8,1.0
28.0,2,84,0,1,2,2,0,2,8,0.0
17.0,2,85,1,0,0,1,0,1,8,1.0
33.0,2,86,2,0,1,1,1,3,8,1.0
16.0,2,87,2,1,2,2,0,2,8,0.0
28.3,2,88,2,1,0,0,0,2,8,0.0
23.0,2,89,0,0,3,3,0,1,2,1.0
24.0,2,90,2,1,0,0,0,2,8,0.0
29.0,2,91,2,1,0,0,0,2,8,0.0
20.0,2,92,2,1,0,0,0,2,8,0.0
46.0,2,93,0,1,3,2,1,2,4,0.0
26.0,2,94,2,1,1,1,1,2,8,0.0
59.0,2,95,2,1,0,0,0,2,8,0.0
28.3,2,96,2,1,0,0,0,2,8,0.0
71.0,0,97,0,1,2,2,0,2,0,0.0
23.0,0,98,0,1,3,2,1,2,3,1.0
34.0,2,99,1,0,2,2,1,3,8,1.0
34.0,2,100,1,1,2,2,1,2,8,0.0
28.0,2,101,2,0,0,0,0,1,8,0.0
28.3,2,102,2,1,0,0,0,2,8,0.0
21.0,2,103,0,1,3,2,1,2,3,0.0
33.0,2,104,2,1,0,0,0,2,8,0.0
37.0,2,105,2,1,0,0,1,2,8,0.0
28.0,2,106,2,1,0,0,0,2,8,0.0
21.0,2,107,2,0,0,0,0,1,8,1.0
28.3,2,108,2,1,0,0,0,2,8,1.0
38.0,2,109,2,1,0,0,0,2,8,0.0
17.3,1,110,2,0,2,1,1,1,8,1.0
47.0,2,111,0,1,3,2,0,2,2,0.0
14.5,0,112,2,0,1,1,1,1,8,0.0
22.0,2,113,2,1,0,0,0,2,8,0.0
20.0,2,114,2,0,0,0,1,1,8,0.0
17.0,0,115,2,0,1,1,0,1,8,0.0
21.0,2,116,2,1,0,0,0,2,8,0.0
70.5,1,117,2,1,0,0,0,2,8,0.0
29.0,2,118,1,1,1,2,1,2,8,0.0
24.0,0,119,0,1,3,3,1,2,1,0.0
2.0,2,120,2,0,2,2,0,1,8,0.0
21.0,2,121,1,1,3,2,1,2,8,0.0
28.3,2,122,2,1,0,0,0,2,8,0.0
32.5,0,123,1,1,2,2,1,2,8,0.0
32.5,2,124,1,0,0,1,0,1,4,1.0
54.0,2,125,0,1,3,2,1,2,3,0.0
12.0,0,126,2,1,0,0,1,0,8,1.0
28.3,1,127,2,1,0,0,0,2,8,0.0
24.0,2,128,2,1,0,0,0,2,8,1.0
17.3,0,129,2,0,2,1,1,1,5,1.0
45.0,2,130,2,1,0,0,0,2,8,0.0
33.0,0,131,2,1,0,0,0,2,8,0.0
20.0,2,132,2,1,0,0,0,2,8,0.0
47.0,2,133,2,0,1,1,1,3,8,0.0
29.0,2,134,1,0,2,2,1,3,8,1.0
25.0,2,135,1,1,0,1,0,2,8,0.0
23.0,0,136,1,1,1,1,0,2,8,0.0
19.0,2,137,0,0,2,2,1,1,3,1.0
37.0,2,138,0,1,3,2,1,2,2,0.0
16.0,2,139,2,1,0,0,0,2,8,0.0
24.0,0,140,0,1,3,2,0,2,1,0.0
32.3,0,141,2,0,1,1,1,3,8,0.0
22.0,2,142,2,0,0,0,0,1,8,1.0
24.0,2,143,2,0,1,1,1,3,8,1.0
19.0,1,144,2,1,0,0,0,2,8,0.0
18.0,2,145,1,1,0,1,0,2,8,0.0
19.0,2,146,1,1,2,2,1,2,8,0.0
27.0,2,147,2,1,0,0,0,2,8,1.0
9.0,2,148,2,0,2,2,0,1,8,0.0
36.5,2,149,1,1,2,2,1,2,5,0.0
42.0,2,150,1,1,0,1,0,2,8,0.0
51.0,2,151,1,1,0,1,0,2,8,0.0
22.0,2,152,0,0,3,2,1,3,2,1.0
55.5,2,153,2,1,0,0,0,2,8,0.0
40.5,2,154,2,1,1,1,1,2,8,0.0
28.3,2,155,2,1,0,0,0,2,8,0.0
51.0,0,156,0,1,3,2,1,2,8,0.0
16.0,1,157,2,0,0,0,0,1,8,1.0
30.0,2,158,2,1,0,0,0,2,8,0.0
28.3,2,159,2,1,0,0,0,2,8,0.0
6.1,2,160,2,1,3,2,0,0,8,0.0
44.0,2,161,2,1,1,1,1,2,8,0.0
40.0,2,162,1,0,1,1,0,3,8,1.0
26.0,2,163,2,1,0,0,0,2,8,0.0
17.0,2,164,2,1,0,0,0,2,8,0.0
1.0,2,165,2,1,2,2,0,0,8,0.0
9.0,2,166,2,1,1,1,1,0,8,1.0
43.0,2,167,0,0,3,2,1,3,4,1.0
45.0,2,168,2,0,2,1,0,3,8,0.0
42.2,2,169,0,1,2,2,0,2,8,0.0
28.0,2,170,2,1,3,2,0,2,8,0.0
61.0,2,171,0,1,2,2,0,2,1,0.0
4.0,1,172,2,1,2,1,0,0,8,0.0
1.0,2,173,2,0,0,0,1,1,8,1.0
21.0,2,174,2,1,0,0,0,2,8,0.0
56.0,0,175,0,1,2,2,0,2,0,0.0
18.0,2,176,2,1,0,0,1,2,8,0.0
6.1,2,177,2,1,2,1,0,0,8,0.0
50.0,0,178,0,0,2,2,0,1,2,0.0
30.0,2,179,1,1,0,1,0,2,8,0.0
36.0,2,180,2,1,-1,-1,0,2,8,0.0
17.3,2,181,2,0,3,2,0,1,8,0.0
33.0,0,182,1,1,1,1,0,2,8,0.0
9.0,2,183,2,1,2,2,0,0,8,0.0
1.0,2,184,1,1,2,2,1,0,5,1.0
4.0,2,185,2,0,2,1,1,1,8,1.0
42.2,2,186,0,1,2,2,0,2,0,0.0
32.3,1,187,2,0,1,1,1,3,8,1.0
45.0,2,188,0,1,2,2,0,2,8,1.0
40.0,1,189,2,1,1,1,1,2,8,0.0
36.0,2,190,2,1,0,0,0,2,8,0.0
32.0,2,191,1,0,0,1,0,3,8,1.0
19.0,2,192,1,1,0,1,0,2,8,0.0
19.0,2,193,2,0,0,0,1,1,8,1.0
3.0,2,194,1,1,2,2,1,0,5,1.0
44.0,0,195,0,0,2,2,0,3,1,1.0
58.0,0,196,0,0,3,3,0,1,1,1.0
28.3,1,197,2,1,0,0,0,2,8,0.0
42.0,2,198,2,1,0,0,1,2,8,0.0
17.3,1,199,2,0,0,0,0,1,8,1.0
24.0,2,200,1,0,0,1,0,1,8,0.0
28.0,2,201,2,1,0,0,0,2,8,0.0
28.3,2,202,2,1,3,2,0,2,8,0.0
34.0,2,203,2,1,0,0,0,2,8,0.0
45.5,0,204,2,1,0,0,0,2,8,0.0
18.0,2,205,2,1,0,0,0,2,8,1.0
2.0,2,206,2,0,0,0,1,1,6,0.0
32.0,2,207,2,1,1,1,1,2,8,0.0
26.0,0,208,2,1,1,1,0,2,8,1.0
16.0,1,209,2,0,0,0,0,1,8,1.0
40.0,0,210,0,1,2,2,0,2,0,1.0
24.0,2,211,2,1,0,0,0,2,8,0.0
35.0,2,212,1,0,1,2,0,1,8,1.0
22.0,2,213,2,1,0,0,0,2,8,0.0
30.0,2,214,1,1,0,1,0,2,8,0.0
28.3,1,215,2,1,0,0,1,2,8,0.0
31.0,0,216,0,0,3,3,1,1,3,1.0
27.0,2,217,2,0,0,0,0,1,8,1.0
42.0,2,218,1,1,2,2,1,2,8,0.0
32.0,0,219,0,0,3,2,0,1,3,1.0
30.0,2,220,1,1,0,1,0,2,8,0.0
16.0,2,221,2,1,0,0,0,2,8,1.0
27.0,2,222,1,1,0,1,0,2,8,0.0
51.0,2,223,2,1,0,0,0,2,8,0.0
28.3,2,224,2,1,0,0,0,2,8,0.0
38.0,2,225,0,1,3,3,1,2,2,1.0
22.0,2,226,2,1,0,0,0,2,8,0.0
19.0,2,227,1,1,0,1,0,2,8,1.0
20.5,2,228,2,1,0,0,0,2,8,0.0
18.0,2,229,1,1,0,1,0,2,8,0.0
17.3,2,230,2,0,2,1,0,1,8,0.0
35.0,2,231,0,0,3,2,1,3,2,1.0
29.0,2,232,2,1,0,0,0,2,8,0.0
59.0,2,233,1,1,1,1,0,2,8,0.0
5.0,2,234,2,0,2,2,0,1,8,1.0
24.0,2,235,1,1,0,1,0,2,8,0.0
17.3,2,236,2,0,0,0,0,1,8,0.0
44.0,2,237,1,1,2,2,1,2,8,0.0
8.0,2,238,1,0,2,2,1,1,8,1.0
19.0,2,239,1,1,0,1,0,2,8,0.0
33.0,2,240,1,1,0,1,0,2,8,0.0
17.3,0,241,2,0,1,1,1,1,8,0.0
17.3,1,242,2,0,1,1,1,1,8,1.0
29.0,2,243,1,1,0,1,0,2,8,0.0
22.0,2,244,2,1,0,0,0,2,8,0.0
30.0,0,245,2,1,0,0,0,2,8,0.0
44.0,1,246,0,1,3,3,1,2,2,0.0
25.0,2,247,2,0,0,0,0,1,8,0.0
24.0,2,248,1,0,1,1,1,3,8,1.0
37.0,2,249,0,1,3,2,1,2,3,1.0
54.0,2,250,1,1,2,2,1,2,8,0.0
28.3,2,251,2,1,0,0,0,2,8,0.0
29.0,2,252,2,0,0,0,1,3,6,0.0
62.0,2,253,0,1,2,2,0,2,2,0.0
30.0,2,254,2,1,1,1,1,2,8,0.0
41.0,2,255,2,0,1,1,1,3,8,0.0
29.0,0,256,2,0,1,1,1,3,8,1.0
43.0,0,257,0,0,3,2,0,3,8,1.0
30.0,2,258,0,0,3,2,0,1,1,1.0
35.0,0,259,0,0,3,3,0,1,8,1.0
50.0,2,260,1,0,2,2,1,3,8,1.0
28.3,1,261,2,1,0,0,0,2,8,0.0
3.0,2,262,2,1,2,2,0,0,8,1.0
52.0,2,263,0,1,3,2,1,2,4,0.0
40.0,2,264,0,1,-1,-1,0,2,1,0.0
17.3,1,265,2,0,0,0,0,1,8,0.0
36.0,2,266,1,1,0,1,0,2,8,0.0
16.0,2,267,2,1,2,2,0,2,8,0.0
25.0,2,268,2,1,0,0,1,2,8,1.0
58.0,2,269,0,0,3,3,1,3,2,1.0
35.0,2,270,0,0,3,3,0,1,2,1.0
42.2,2,271,0,1,2,2,0,2,8,0.0
25.0,2,272,2,1,-1,-1,0,2,8,1.0
41.0,2,273,1,0,1,1,1,3,8,1.0
37.0,0,274,0,1,2,2,1,2,2,0.0
17.3,1,275,2,0,0,0,0,1,8,1.0
63.0,2,276,0,0,3,2,1,1,3,1.0
45.0,2,277,2,0,0,0,0,1,8,0.0
33.0,2,278,1,1,-1,-1,0,2,8,0.0
7.0,1,279,2,1,2,1,0,0,8,0.0
35.0,2,280,2,0,1,1,1,3,8,1.0
65.0,1,281,2,1,0,0,0,2,8,0.0
28.0,2,282,2,1,0,0,0,2,8,0.0
16.0,2,283,2,1,0,0,0,2,8,0.0
19.0,2,284,2,1,0,0,0,2,8,1.0
42.2,2,285,0,1,2,2,0,2,0,0.0
33.0,0,286,2,1,0,0,0,2,8,0.0
30.0,2,287,2,1,0,0,0,2,8,1.0
22.0,2,288,2,1,0,0,0,2,8,0.0
42.0,2,289,1,1,0,1,0,2,8,1.0
22.0,1,290,2,0,0,0,0,1,8,1.0
26.0,2,291,0,0,3,2,0,1,8,1.0
19.0,0,292,0,0,3,3,1,3,1,1.0
36.0,0,293,1,1,0,1,0,2,3,0.0
24.0,2,294,2,0,0,0,0,1,8,0.0
24.0,2,295,2,1,0,0,0,2,8,0.0
42.2,0,296,0,1,2,2,0,2,8,0.0
23.5,0,297,2,1,0,0,0,2,8,0.0
2.0,2,298,0,0,3,3,1,1,2,0.0
42.2,2,299,0,1,2,2,0,2,2,1.0
50.0,0,300,0,0,3,3,1,3,1,1.0
17.3,1,301,2,0,0,0,0,1,8,1.0
28.3,1,302,2,1,2,1,1,2,8,1.0
19.0,2,303,2,1,-1,-1,0,2,8,0.0
21.1,1,304,1,0,0,1,0,1,4,1.0
28.3,2,305,2,1,0,0,0,2,8,0.0
0.92,2,306,0,1,3,3,1,0,2,1.0
30.1,0,307,0,0,3,3,0,1,8,1.0
17.0,0,308,0,0,3,3,1,3,2,1.0
30.0,0,309,1,1,2,2,1,2,8,0.0
30.0,0,310,0,0,3,2,0,1,4,1.0
24.0,0,311,0,0,3,2,0,1,2,1.0
18.0,0,312,0,0,3,3,0,1,1,1.0
26.0,2,313,1,0,2,2,1,3,8,0.0
28.0,2,314,2,1,0,0,0,2,8,0.0
43.0,2,315,1,1,2,2,1,2,8,0.0
26.0,2,316,2,0,0,0,0,1,8,1.0
24.0,2,317,1,0,2,2,1,3,8,1.0
54.0,2,318,1,1,1,1,0,2,8,0.0
31.0,2,319,0,0,3,3,1,1,2,1.0
40.0,0,320,0,0,3,3,1,3,4,1.0
22.0,2,321,2,1,0,0,0,2,8,0.0
27.0,2,322,2,1,0,0,0,2,8,0.0
30.0,1,323,1,0,0,1,0,1,8,1.0
22.0,2,324,1,0,2,2,1,3,8,1.0
28.3,2,325,2,1,3,2,0,2,8,0.0
36.0,0,326,0,0,3,3,0,1,2,1.0
61.0,2,327,2,1,0,0,0,2,8,0.0
36.0,2,328,1,0,0,1,0,3,3,1.0
31.0,2,329,2,0,1,1,1,3,8,1.0
16.0,0,330,0,0,3,2,1,1,1,1.0
17.3,1,331,2,0,2,1,1,1,8,1.0
45.5,2,332,0,1,2,2,0,2,2,0.0
38.0,2,333,0,1,3,3,1,2,2,0.0
16.0,2,334,2,1,1,1,1,2,8,0.0
43.0,2,335,0,0,3,3,1,3,8,1.0
28.3,2,336,2,1,0,0,0,2,8,0.0
29.0,2,337,0,1,3,2,1,2,2,0.0
41.0,0,338,0,0,3,3,0,1,4,1.0
45.0,2,339,2,1,0,0,0,2,8,1.0
45.0,2,340,0,1,2,2,0,2,7,0.0
2.0,2,341,1,1,2,2,1,0,5,1.0
24.0,2,342,0,0,3,3,0,1,2,1.0
28.0,2,343,1,1,0,1,0,2,8,0.0
25.0,2,344,1,1,0,1,0,2,8,0.0
36.0,2,345,1,1,0,1,0,2,8,0.0
24.0,2,346,1,0,0,1,0,1,5,1.0
40.0,2,347,1,0,0,1,0,1,8,1.0
32.3,2,348,2,0,1,1,1,3,8,1.0
3.0,2,349,2,1,1,1,1,0,8,1.0
42.0,2,350,2,1,0,0,0,2,8,0.0
23.0,2,351,2,1,0,0,0,2,8,0.0
42.2,2,352,0,1,2,2,0,2,2,0.0
15.0,0,353,2,1,0,0,1,2,8,0.0
25.0,2,354,2,1,1,1,1,2,8,0.0
28.3,0,355,2,1,0,0,0,2,8,0.0
28.0,2,356,2,1,0,0,0,2,8,0.0
22.0,2,357,0,0,3,2,1,1,4,1.0
38.0,2,358,1,0,0,1,0,1,8,0.0
17.3,1,359,2,0,0,0,0,1,8,1.0
17.3,1,360,2,0,0,0,0,1,8,1.0
40.0,2,361,2,1,2,1,0,2,8,0.0
29.0,0,362,1,1,2,2,1,2,8,0.0
45.0,0,363,2,0,1,1,1,3,8,0.0
35.0,2,364,2,1,0,0,0,2,8,0.0
28.3,1,365,2,1,1,1,1,2,8,0.0
30.0,2,366,2,1,0,0,0,2,8,0.0
60.0,0,367,0,0,3,2,1,3,3,1.0
32.3,0,368,2,0,0,0,0,3,8,1.0
17.3,1,369,2,0,0,0,0,1,8,1.0
24.0,0,370,0,0,3,2,0,3,1,1.0
25.0,0,371,0,1,3,2,1,2,4,1.0
18.0,2,372,2,1,0,0,1,2,8,0.0
19.0,2,373,2,1,0,0,0,2,8,0.0
22.0,0,374,0,1,3,3,0,2,8,0.0
3.0,2,375,2,0,2,1,0,1,8,0.0
43.0,0,376,0,0,3,2,1,3,8,1.0
22.0,2,377,2,0,0,0,0,1,8,1.0
27.0,0,378,0,1,3,3,1,2,2,0.0
20.0,0,379,2,1,0,0,0,2,8,0.0
19.0,2,380,2,1,0,0,0,2,8,0.0
42.0,0,381,0,0,3,3,0,1,8,1.0
1.0,0,382,2,0,1,1,1,1,8,1.0
32.0,2,383,2,1,0,0,0,2,8,0.0
35.0,2,384,0,0,3,2,1,3,8,1.0
28.3,2,385,2,1,0,0,0,2,8,0.0
18.0,2,386,1,1,3,2,0,2,8,0.0
1.0,2,387,2,1,2,2,0,0,8,0.0
36.0,2,388,1,0,0,1,0,1,8,1.0
28.3,1,389,2,1,0,0,0,2,8,0.0
17.0,0,390,1,0,0,1,0,1,8,1.0
36.0,2,391,0,1,3,3,1,2,1,1.0
21.0,2,392,2,1,0,0,0,2,8,1.0
28.0,2,393,2,1,0,0,1,2,8,0.0
23.0,0,394,0,0,3,3,1,1,3,1.0
24.0,2,395,2,0,1,1,1,3,6,1.0
22.0,2,396,2,1,0,0,0,2,8,0.0
31.0,2,397,2,0,0,0,0,1,8,0.0
46.0,2,398,1,1,2,2,0,2,8,0.0
23.0,2,399,1,1,0,1,0,2,8,0.0
28.0,2,400,1,0,0,1,0,3,8,1.0
39.0,2,401,2,1,0,0,0,2,8,1.0
26.0,2,402,2,1,0,0,0,2,8,0.0
21.0,2,403,2,0,0,0,1,1,8,0.0
28.0,2,404,2,1,1,1,1,2,8,0.0
20.0,2,405,2,0,0,0,0,1,8,0.0
34.0,2,406,1,1,1,2,1,2,8,0.0
51.0,2,407,2,1,0,0,0,2,8,0.0
3.0,2,408,1,1,1,1,1,0,8,1.0
21.0,2,409,2,1,0,0,0,2,8,0.0
17.3,2,410,2,0,2,1,0,1,8,0.0
28.3,2,411,2,1,0,0,0,2,8,0.0
28.3,1,412,2,1,0,0,0,2,8,0.0
33.0,1,413,0,0,3,3,1,1,2,1.0
33.0,2,414,1,1,-1,-1,0,2,8,0.0
44.0,2,415,2,1,0,0,0,2,8,1.0
32.3,2,416,2,0,0,0,0,3,8,0.0
34.0,2,417,1,0,2,2,1,3,8,1.0
18.0,2,418,1,0,0,1,1,1,8,1.0
30.0,2,419,1,1,0,1,0,2,8,0.0
10.0,2,420,2,0,2,1,1,1,8,0.0
28.3,0,421,2,1,0,0,0,2,8,0.0
21.0,1,422,2,1,0,0,0,2,8,0.0
29.0,2,423,2,1,0,0,0,2,8,0.0
28.0,2,424,2,0,1,1,1,3,8,0.0
18.0,2,425,2,1,1,1,1,2,8,0.0
28.3,2,426,2,1,0,0,0,2,8,0.0
